,QGL,Qo,PFUNDO,TFUNDO,psup,TMONCKTP,qliq,QGT,Qw,bsw,rgo,rgl,delta_p
104,0.0,29.999999999999996,105.68077321598834,88.0,60.0,4.947939811708742,300.0,150000.0,270.0,0.9,5000.000000000001,500.0,45.68077321598834
105,0.0,3.0000000000000027,105.24677883431671,88.0,60.0,6.08033260999481,300.0,150000.0,297.0,0.99,49999.99999999996,500.0,45.246778834316714
106,0.0,297.0,102.846046229118,88.0,60.0,-7.773251588122299,300.0,300000.0,3.0,0.01,1010.10101010101,1000.0,42.846046229118
107,0.0,270.0,104.03030461188152,88.0,60.0,-6.564373797722349,300.0,300000.0,30.0,0.1,1111.111111111111,1000.0,44.03030461188152
108,0.0,210.0,107.31223069340386,88.0,60.0,-3.761059208006379,300.0,300000.0,90.0,0.3,1428.571428571429,1000.0,47.31223069340386
109,0.0,120.0,111.62662662888026,88.0,60.0,1.6761897416688902,300.0,300000.0,180.0,0.6,2500.0,1000.0,51.62662662888026
110,0.0,29.999999999999996,100.06386078424592,88.0,60.0,5.93086803171921,300.0,300000.0,270.0,0.9,10000.000000000002,1000.0,40.06386078424592
111,0.0,3.0000000000000027,98.46359826116144,88.0,60.0,7.486724093803205,300.0,300000.0,297.0,0.99,99999.99999999993,1000.0,38.46359826116144
112,0.0,1485.0,177.97931570499802,88.0,60.0,21.41577044771368,1500.0,30000.0,15.0,0.01,20.2020202020202,20.0,117.97931570499802
113,0.0,1350.0,180.8139758959149,88.0,60.0,25.454559678284472,1500.0,30000.0,150.0,0.1,22.22222222222222,20.0,120.8139758959149
114,0.0,1050.0,187.50720453063127,88.0,60.0,33.519870220289825,1500.0,30000.0,450.0,0.3,28.571428571428573,20.0,127.50720453063127
115,0.0,600.0,198.6817938543317,88.0,60.0,43.72605542351516,1500.0,30000.0,900.0,0.6,50.0,20.0,138.6817938543317
